#Time,feature,NeutronCount_Epithermal_Cum1hrQualityFlag in []
2015-08-08T09:00:00.000000+0200,Jungfraujoch,155.682,42027.0
2015-08-08T10:00:00.000000+0200,Jungfraujoch,157.067,42027.0
2015-08-08T11:00:00.000000+0200,Jungfraujoch,157.462,42027.0
2015-08-08T12:00:00.000000+0200,Jungfraujoch,157.534,42027.0
2015-08-08T13:00:00.000000+0200,Jungfraujoch,157.538,42027.0
2015-08-08T14:00:00.000000+0200,Jungfraujoch,157.552,42027.0
2015-08-08T15:00:00.000000+0200,Jungfraujoch,156.776,42027.0
2015-08-08T16:00:00.000000+0200,Jungfraujoch,157.161,42027.0
2015-08-08T17:00:00.000000+0200,Jungfraujoch,156.13,42027.0
2015-08-08T18:00:00.000000+0200,Jungfraujoch,155.582,42027.0
2015-08-08T19:00:00.000000+0200,Jungfraujoch,155.665,42027.0
2015-08-08T20:00:00.000000+0200,Jungfraujoch,156.217,42027.0
2015-08-08T21:00:00.000000+0200,Jungfraujoch,155.414,42027.0
2015-08-08T22:00:00.000000+0200,Jungfraujoch,156.424,42027.0
2015-08-08T23:00:00.000000+0200,Jungfraujoch,156.473,42027.0
2015-08-09T00:00:00.000000+0200,Jungfraujoch,156.087,42027.0
2015-08-09T01:00:00.000000+0200,Jungfraujoch,155.307,42027.0
2015-08-09T02:00:00.000000+0200,Jungfraujoch,155.441,42027.0
2015-08-09T03:00:00.000000+0200,Jungfraujoch,155.801,42027.0
2015-08-09T04:00:00.000000+0200,Jungfraujoch,154.831,42027.0
2015-08-09T05:00:00.000000+0200,Jungfraujoch,155.772,42027.0
2015-08-09T06:00:00.000000+0200,Jungfraujoch,156.17,42027.0
2015-08-09T07:00:00.000000+0200,Jungfraujoch,156.757,42027.0
2015-08-09T08:00:00.000000+0200,Jungfraujoch,156.104,42027.0
2015-08-09T09:00:00.000000+0200,Jungfraujoch,156.546,42027.0
2015-08-09T10:00:00.000000+0200,Jungfraujoch,155.996,42027.0
2015-08-09T11:00:00.000000+0200,Jungfraujoch,156.683,42027.0
2015-08-09T12:00:00.000000+0200,Jungfraujoch,156.116,42027.0
2015-08-09T13:00:00.000000+0200,Jungfraujoch,156.099,42027.0
2015-08-09T14:00:00.000000+0200,Jungfraujoch,156.403,42027.0
2015-08-09T15:00:00.000000+0200,Jungfraujoch,155.888,42027.0
2015-08-09T16:00:00.000000+0200,Jungfraujoch,156.189,42027.0
2015-08-09T17:00:00.000000+0200,Jungfraujoch,156.721,42027.0
2015-08-09T18:00:00.000000+0200,Jungfraujoch,156.119,42027.0
2015-08-09T19:00:00.000000+0200,Jungfraujoch,156.223,42027.0
2015-08-09T20:00:00.000000+0200,Jungfraujoch,156.895,42027.0
2015-08-09T21:00:00.000000+0200,Jungfraujoch,155.822,42027.0
